objectid,filename,title,subject,date,location,format,description,type,latitude ,longitude,Creator,Brand,Identifier,rights,source
fort-orange-front,fort-orange-front.JPG,The Fort Golf Course Orange,Golf,,"Indianapolis, Indiana",image/jpeg,This hat was a gift I recieved as a gift for attending a summer camp at this golf course. I do not know when I recieved this hat.,baseball cap,39.851923,-86.110353,TaylorMade,The Fort Golf Course,"orange red; black; forrest green, goldenrod",Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
iu-front,iu-front.JPG,Indiana University,Indiana University,2020-08,"Bloomington, Indiana",image/jpeg,This hat was a gift I recieved when I first attended IU as a grad student in the fall of 2020,baseball cap,39.156929,-86.523655,Top of the World,IU,darkred; white,Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
iupui-front,iupui-front.JPG,IUPUI Red,IUPUI,2015-07,"Indianapolis, Indiana",image/jpeg,I bought this hat in the summer of 2015 after I started attending IUPUI. This hat is importat becuase IUPUI will be chanigng their name in 2024,baseball cap,39.851923,-86.110353,Legacy,IUPUI,crimson; white,Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
iupui-yellow-front,iupui-yellow-front.JPG,IUPUI Yellow-Red,IUPUI,2017-08,"Indianapolis, Indiana",image/jpeg,"This hat was recieved a free promotion from my undergrad. A set of hats were screwed up during production, and the school gave them out for free",baseball cap,39.851923,-86.110353,Head To Toe,IUPUI,"gold, firebrick",Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
mini-beanie-front,mini-beanie-front.JPG,Indy Monumental Marathon Beanie,Half Marathon,,"Indianapolis, Indiana",image/jpeg,"I did not participate in this event, instead I took photos during and recieved it for free",beanie,39.851923,-86.110353,,Indy Monumental Marathon,red; lightgrey,Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
mini-cap-front,mini-cap-front.JPG,Indy Mini Half-Marathon,Half Marathon,2013-05,"Indianapolis, Indiana",image/jpeg,This is the cap I recieved after running my half maration in May of 2013.,baseball cap,39.851923,-86.110353,Race Trackers,Indy Mini Half-Marathon,white; grey; blue; red,Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
pacers-front,pacers-front.JPG,Indiana Pacers,Basketball,2020-01,"Indianapolis, Indiana",image/jpeg,"After I lost my first Pacers hat, my parents bought me a flat bill replacement for my birthday. This hat was a gift.",baseball cap - flat bill,39.851923,-86.110353,New Era,Indiana Pacers,"darkblue; gold, white",Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
pokemon-front,pokemon-front.JPG,Pokemon Ash,Pokemon,2022-10,"Indianapolis, Indiana",image/jpeg,This hat I bought in the fall of 2022 to complete a Halloween costume.,baseball cap,39.851923,-86.110353,,Nintendo,red; white; cyan,Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
red-bull-front,red-bull-front.JPG,Red Bull Racing,Formula 1,2021-03,"Indianapolis, Indiana",image/jpeg,This hat I bought during the 2021 Forumla One. I bought it before Max Verstappen won his first World Champsionship.,baseball cap,39.851923,-86.110353,Puma,Red Bull,midnight blue; blue; red; white; black,Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
rye-whiskey-front,rye-whiskey-front.JPG,Rossville Union,Whiskey,2022-03,"Bloomington, Indiana",image/jpeg,This hat was a girft from a friend.,trucker cap,39.156929,-86.523655,Richardson,Rossville Union,lightsteelblue; beige; pale goldenrod; slate grey,Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
spurs-front,spurs-front.JPG,San Antonio Spurs,Basketball,2021-07,"Indianapolis, Indiana",image/jpeg,This hat I bought before I entered my second attempt of graduate school. It was a present to myself.,baseball cap - flat bill,39.851923,-86.110353,Mitchell and Ness,San Antonio Spurs,"black, dark pink; persian green; dark orange; silver ",Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
striped beanie,striped beanie.JPG,Striped Beanie,Beanie,,"Indianapolis, Indiana",image/jpeg,"This hat is the most unknown. I know I have owned it for many year, but I do not know where it came from or when it was bought.",beanie,39.851923,-86.110353,,,dimgrey; darkred; white; black,Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
the-fort-front,the-fort-front.JPG,The Fort Golf Course Blue,Golf,2014-05,"Indianapolis, Indiana",image/jpeg,This hat I got during my time when I worked at the same golf course I attended a summer camp at years prior.,sports cap,39.851923,-86.110353,Under Armour,The Fort Golf Course,blue; white; black,Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
tiger-front,tiger-front.JPG,Detroit Tigers,Baseball,2010-07,"Detroit, Michigan",image/jpeg,This hat is the oldest that I have owned in my collection. My grandfather bought me at Polish night during their 2010 season.,baseball cap,42.331429,-83.045753,Melon Passed Test,Detroit Tigers,navy; white,Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
formula-1-club,formula-one-club.JPG,Formula 1 Club,Formula 1,2022-11,"Bloomington, Indiana",image/jpeg,This hat is my latest addition. I bought merch from IU's Formula One Club and received it before the end of 2022 season.,baseball cap,39.156929,-86.523655,Port Authority,Formula 1 Club at IU,black; red,Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
